pl_name,updated_ecc,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
11 Com b,0.238,11 Com,1,2,1,Radial Velocity,2007,Xinglong Station,1,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21,0.06,-0.05,0,1.178,0.0,0.0,0.0,,,,,,,,,4914.89849,39.09289,-39.72855,0.0,15.464,0.123,-0.125,0.0,Msini,0.238,0.007,-0.007,0.0,,,,,,,,,0,288.63,2.39,-2.37,0.0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874.0,,,0.0,13.76,2.85,-2.45,0.0,2.09,0.64,-0.63,0.0,-0.26,0.1,-0.1,0.0,[Fe/H],2.45,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479,2023-09-19,2023-08,2023-09-19
11 UMi b,0.08,11 UMi,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0.0,,,,,,,,,4684.8142,794.575,-794.575,0.0,14.74,2.5,-2.5,0.0,Msini,0.08,0.03,-0.03,0.0,,,,,,,,,0,189.7,7.2,-7.2,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,-0.02,,,0.0,[Fe/H],1.93,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035,2018-09-04,2017-03,2018-09-06
14 And b,0.0,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,186.76,0.11,-0.12,0,0.775,0.0,0.0,0.0,,,,,,,,,1131.1513,36.23244,-38.77507,0.0,3.559,0.114,-0.122,0.0,Msini,0.0,,,0.0,,,,,,,,,0,86.08,2.76,-2.95,0.0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,4888.0,,,0.0,11.55,1.12,-0.51,0.0,1.78,0.43,-0.29,0.0,-0.21,0.1,-0.1,0.0,[Fe/H],2.55,0.06,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,2023-09-19,2023-08,2023-09-19
14 Her b,0.373,14 Her,1,1,2,Radial Velocity,2002,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0.0,,,,,,,,,2559.47216,518.69596,-280.64248,0.0,8.053,1.632,-0.883,0.0,Mass,0.373,0.008,-0.006,0.0,,,,,,,,,0,89.582,0.963,-0.822,0.0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.91,0.11,-0.11,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512,2023-06-12,2022-09,2023-06-12
16 Cyg B b,0.68,16 Cyg B,1,3,1,Radial Velocity,1996,Multiple Observatories,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.5,1.0,-1.0,0,1.66,0.03,-0.03,0.0,,,,,,,,,565.7374,25.4264,-25.4264,0.0,1.78,0.08,-0.08,0.0,Msini,0.68,0.02,-0.02,0.0,,,,,,,,,0,50.5,1.6,-1.6,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.06,,,0.0,[Fe/H],4.36,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029,2018-09-04,2017-03,2018-09-06
17 Sco b,0.06,17 Sco,1,1,1,Radial Velocity,2020,Lick Observatory,1,Published Confirmed,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0.0,,,,,,,,,1373.01872,47.67426,-38.13941,0.0,4.32,0.15,-0.12,0.0,Msini,0.06,0.03,-0.02,0.0,,,,,,,,,0,92.4,3.9,-3.84,0.0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,-0.01,0.1,-0.1,0.0,[Fe/H],1.7,0.04,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,2.59,-2.59,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055,2021-10-25,2020-12,2021-10-25
18 Del b,0.024,18 Del,1,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,982.85,1.06,-0.92,0,2.476,0.002,-0.002,0.0,,,,,,,,,2926.24614,50.85255,-24.47279,0.0,9.207,0.16,-0.077,0.0,Msini,0.024,0.007,-0.018,0.0,,,,,,,,,0,114.96,1.98,-0.96,0.0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G6 III,4980.0,,,0.0,8.8,0.61,-0.4,0.0,2.1,0.13,-0.09,0.0,-0.06,0.1,-0.1,0.0,[Fe/H],2.87,0.03,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539,2023-09-19,2023-08,2023-09-19
24 Boo b,0.032,24 Boo,1,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,1,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,30.33,0.0,-0.01,0,0.194,0.0,0.0,0.0,,,,,,,,,280.64248,11.44182,-13.66662,0.0,0.883,0.036,-0.043,0.0,Msini,0.032,0.039,-0.023,0.0,,,,,,,,,0,55.67,2.31,-2.66,0.0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 IV,4816.0,,,0.0,12.19,1.45,-1.28,0.0,1.05,0.27,-0.18,0.0,-0.78,0.1,-0.1,0.0,[Fe/H],2.28,0.09,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,2023-09-19,2023-08,2023-09-19
24 Sex b,0.09,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,1,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0.0,,,,,,,,,632.46,82.63,-120.77,0.0,1.99,0.26,-0.38,0.0,Msini,0.09,0.14,-0.06,0.0,,,,,,,,,0,40.0,4.9,-7.8,0.0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,2014-05-14,2011-01,2014-05-14
30 Ari B b,0.29,30 Ari B,1,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0.0,,,,,,,,,4392.4106,572.094,-572.094,0.0,13.82,1.8,-1.8,0.0,Msini,0.29,0.09,-0.09,0.0,,,,,,,,,0,272.0,24.0,-24.0,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,,,0.0,[Fe/H],4.43,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512,2018-09-04,2017-03,2018-09-06
4 UMa b,0.453,4 UMa,1,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,1,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,270.27,0.24,-0.09,0,0.877,0.001,0.0,0.0,,,,,,,,,2511.48007,63.24785,-120.13914,0.0,7.902,0.199,-0.378,0.0,Msini,0.453,0.021,-0.036,0.0,,,,,,,,,0,242.24,7.45,-14.31,0.0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,[Fe/H],1.8,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,2023-09-19,2023-08,2023-09-19
42 Dra b,0.38,42 Dra,1,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,1,Published Confirmed,0,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0.0,,,,,,,,,1233.13,270.14,-270.14,0.0,3.88,0.85,-0.85,0.0,Msini,0.38,0.06,-0.06,0.0,,,,,,,,,0,110.5,7.0,-7.0,0.0,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,K1.5 III,4200.0,70.0,-70.0,0.0,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0,-0.46,0.05,-0.05,0.0,[Fe/H],1.71,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.216,-0.216,4.43216,0.006238,-0.006238,2014-05-14,2009-06,2014-05-14
47 UMa b,0.032,47 UMa,1,1,3,Radial Velocity,1996,Lick Observatory,1,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,1078.0,2.0,-2.0,0,2.1,0.02,-0.02,0.0,,,,,,,,,804.08,22.25,-19.07,0.0,2.53,0.07,-0.06,0.0,Msini,0.032,0.014,-0.014,0.0,,,,,,,,,0,48.4,0.8,-0.9,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14
47 UMa c,0.098,47 UMa,1,1,3,Radial Velocity,2001,Lick Observatory,1,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,2391.0,100.0,-87.0,0,3.6,0.1,-0.1,0.0,,,,,,,,,171.621,20.976,-23.201,0.0,0.54,0.066,-0.073,0.0,Msini,0.098,0.047,-0.096,0.0,,,,,,,,,0,8.0,1.0,-1.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14
47 UMa d,0.16,47 UMa,1,1,3,Radial Velocity,2009,Lick Observatory,1,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,14002.0,4018.0,-5095.0,0,11.6,2.1,-2.9,0.0,,,,,,,,,521.22,92.17,-152.55,0.0,1.64,0.29,-0.48,0.0,Msini,0.16,0.09,-0.16,0.0,,,,,,,,,0,13.8,2.2,-2.9,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14
51 Peg b,0.013,51 Peg,1,1,1,Radial Velocity,1995,Haute-Provence Observatory,1,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,4.230785,3.6e-05,-3.6e-05,0,0.0527,0.003,-0.003,0.0,,,,,,,,,150.009,12.395,-12.395,0.0,0.472,0.039,-0.039,0.0,Msini,0.013,0.012,-0.012,0.0,,,,,,,,,0,55.94,0.69,-0.69,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5758.0,101.62,-119.62,0.0,1.18,0.07,-0.04,0.0,1.03,0.17,-0.09,0.0,0.18,0.1,-0.1,0.0,[M/H],4.31,0.08,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768,2014-05-14,2006-07,2014-05-14
55 Cnc b,0.0048,55 Cnc,1,2,5,Radial Velocity,1996,Lick Observatory,1,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,14.6516,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0.0,,,,,,,,,255.4,2.9,-2.9,0.0,0.8036,0.0092,-0.0091,0.0,Msini,0.0,0.01,-0.01,0.0,,,,,,,,,0,71.37,0.21,-0.21,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc c,0.03,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,1,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,44.3989,0.0042,-0.0043,0,0.2373,0.0013,-0.0013,0.0,,,,,,,,,51.2,1.3,-1.3,0.0,0.1611,0.004,-0.004,0.0,Msini,0.03,0.02,-0.02,0.0,,,,,,,,,0,9.89,0.22,-0.22,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc d,0.13,55 Cnc,1,2,5,Radial Velocity,2002,Lick Observatory,1,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,5574.2,93.8,-88.6,0,5.957,0.074,-0.071,0.0,,,,,,,,,991.6,30.7,-33.1,0.0,3.12,0.1,-0.1,0.0,Msini,0.13,0.02,-0.02,0.0,,,,,,,,,0,38.6,1.3,-1.4,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc e,0.05,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,1,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,1.3e-06,-1.4e-06,0,0.01544,5e-05,-5e-05,0.0,1.875,0.029,-0.029,0.0,0.167,0.003,-0.003,0.0,7.99,0.32,-0.33,0.0,0.02514,0.00101,-0.00104,0.0,Mass,0.05,0.03,-0.03,0.0,,,,,,,,,0,6.02,0.24,-0.23,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc f,0.08,55 Cnc,1,2,5,Radial Velocity,2007,Multiple Observatories,1,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88,0.29,-0.29,0,0.7708,0.0043,-0.0044,0.0,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,Msini,0.08,0.05,-0.04,0.0,,,,,,,,,0,5.14,0.26,-0.25,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
